"key","lat","lon","order","family","genus","species","year","vernacularName"
963770585,46.915,-121.641,"Passeriformes","Emberizidae","Spizella","Spizella passerina",2013,"Chipping Sparrow"
963770602,46.915,-121.641,"Passeriformes","Fringillidae","Hesperiphona","Hesperiphona vespertina",2013,"Evening Grosbeak"
963771429,46.9026,-121.641,"Passeriformes","Parulidae","Leiothlypis","Leiothlypis celata",2013,"Orange-crowned Warbler"
963780645,46.915,-121.641,"Passeriformes","Bombycillidae","Bombycilla","Bombycilla cedrorum",2013,"Cedar Waxwing"
963817356,46.7871,-121.734,"Passeriformes","Corvidae","Perisoreus","Perisoreus canadensis",2013,"Gray Jay"
963821991,46.7883,-121.735,"Passeriformes","Parulidae","Setophaga","Setophaga townsendi",2013,"Townsend's Warbler"
964057202,46.8503,-121.752,"Passeriformes","Turdidae","Turdus","Turdus migratorius",2013,"American Robin"
964059971,46.8503,-121.752,"Passeriformes","Troglodytidae","Troglodytes","Troglodytes pacificus",2013,"Pacific Wren"
964061191,46.8503,-121.752,"Passeriformes","Parulidae","Cardellina","Cardellina pusilla",2013,"Wilson's Warbler"
964124907,46.8503,-121.752,"Passeriformes","Corvidae","Corvus","Corvus brachyrhynchos",2013,"American Crow"
964126022,46.8503,-121.752,"Accipitriformes","Accipitridae","Buteo","Buteo jamaicensis",2013,"Red-tailed Hawk"
964209523,46.7609,-122.019,"Passeriformes","Emberizidae","Melospiza","Melospiza melodia",2013,"Song Sparrow"
966841465,46.9147,-121.638,"Accipitriformes","Accipitridae","Accipiter","Accipiter striatus",2013,"Sharp-shinned Hawk"
968201491,46.9026,-121.555,"Passeriformes","Motacillidae","Anthus","Anthus rubescens",2013,"American Pipit"
968201781,46.9026,-121.555,"Passeriformes","Corvidae","Corvus","Corvus corax",2013,"Common Raven"
969191721,46.9244,-121.665,"Apodiformes","Trochilidae","Selasphorus","Selasphorus rufus",2013,"Rufous Hummingbird"
961457528,46.915,-121.641,"Passeriformes","Parulidae","Setophaga","Setophaga coronata",2013,"Yellow-rumped Warbler"
961608890,46.7609,-122.019,"Passeriformes","Emberizidae","Junco","Junco hyemalis",2013,"Dark-eyed Junco"
961609194,46.7609,-122.019,"Passeriformes","Cardinalidae","Pheucticus","Pheucticus melanocephalus",2013,"Black-headed Grosbeak"
961614036,46.8689,-121.518,"Passeriformes","Fringillidae","Hesperiphona","Hesperiphona vespertina",2013,"Evening Grosbeak"
961665845,46.8503,-121.752,"Passeriformes","Fringillidae","Hesperiphona","Hesperiphona vespertina",2013,"Evening Grosbeak"
961666681,46.8503,-121.752,"Passeriformes","Tyrannidae","Empidonax","Empidonax difficilis",2013,"Pacific-slope Flycatcher"
961674408,46.7871,-121.734,"Passeriformes","Hirundinidae","Tachycineta","Tachycineta thalassina",2013,"Violet-green Swallow"
961677116,46.915,-121.641,"Passeriformes","Fringillidae","Haemorhous","Haemorhous cassinii",2013,"Cassin's Finch"
961677125,46.915,-121.641,"Passeriformes","Turdidae","Sialia","Sialia currucoides",2013,"Mountain Bluebird"
961782884,46.9244,-121.665,"Passeriformes","Corvidae","Corvus","Corvus corax",2013,"Common Raven"
961946170,46.7609,-122.019,"Passeriformes","Corvidae","Cyanocitta","Cyanocitta stelleri",2013,"Steller's Jay"
961961108,46.9244,-121.665,"Passeriformes","Corvidae","Perisoreus","Perisoreus canadensis",2013,"Gray Jay"
961995857,46.8503,-121.752,"Passeriformes","Paridae","Poecile","Poecile rufescens",2013,"Chestnut-backed Chickadee"
962121116,46.7869,-121.758,"Passeriformes","Hirundinidae","Hirundo","Hirundo rustica",2013,"Barn Swallow"
962261189,46.9026,-121.641,"Passeriformes","Fringillidae","Hesperiphona","Hesperiphona vespertina",2013,"Evening Grosbeak"
962263905,46.9244,-121.665,"Passeriformes","Bombycillidae","Bombycilla","Bombycilla cedrorum",2013,"Cedar Waxwing"
971523375,46.7871,-121.734,"Passeriformes","Cardinalidae","Pheucticus","Pheucticus melanocephalus",2013,"Black-headed Grosbeak"
962546316,46.7609,-122.019,"Passeriformes","Cardinalidae","Pheucticus","Pheucticus melanocephalus",2013,"Black-headed Grosbeak"
962750402,46.9244,-121.665,"Passeriformes","Sittidae","Sitta","Sitta canadensis",2013,"Red-breasted Nuthatch"
962751229,46.9244,-121.665,"Passeriformes","Emberizidae","Spizella","Spizella passerina",2013,"Chipping Sparrow"
962884570,46.9023,-121.842,"Passeriformes","Emberizidae","Junco","Junco hyemalis",2013,"Dark-eyed Junco"
962957743,46.7871,-121.734,"Passeriformes","Bombycillidae","Bombycilla","Bombycilla cedrorum",2013,"Cedar Waxwing"
962991430,46.9212,-121.688,"Passeriformes","Bombycillidae","Bombycilla","Bombycilla cedrorum",2013,"Cedar Waxwing"
962991617,46.9212,-121.688,"Passeriformes","Corvidae","Corvus","Corvus corax",2013,"Common Raven"
963174979,46.7702,-121.731,"Passeriformes","Turdidae","Turdus","Turdus migratorius",2013,"American Robin"
963214039,46.915,-121.641,"Accipitriformes","Accipitridae","Accipiter","Accipiter gentilis",2013,"Northern Goshawk"
963275821,46.915,-121.641,"Apodiformes","Trochilidae","Selasphorus","Selasphorus rufus",2013,"Rufous Hummingbird"
963276046,46.915,-121.641,"Passeriformes","Cardinalidae","Piranga","Piranga ludoviciana",2013,"Western Tanager"
963347883,46.915,-121.641,"Passeriformes","Bombycillidae","Bombycilla","Bombycilla cedrorum",2013,"Cedar Waxwing"
963380452,46.785,-121.741,"Passeriformes","Passeridae","Passer","Passer domesticus",2013,"House Sparrow"
963452275,46.9244,-121.665,"Galliformes","Phasianidae","Lagopus","Lagopus leucura",2013,"White-tailed Ptarmigan"
963452512,46.9244,-121.665,"Passeriformes","Corvidae","Nucifraga","Nucifraga columbiana",2013,"Clark's Nutcracker"
963457138,46.915,-121.641,"Passeriformes","Fringillidae","Haemorhous","Haemorhous cassinii",2013,"Cassin's Finch"
963459334,46.915,-121.641,"Passeriformes","Parulidae","Setophaga","Setophaga townsendi",2013,"Townsend's Warbler"
963466791,46.9026,-121.641,"Passeriformes","Fringillidae","Spinus","Spinus pinus",2013,"Pine Siskin"
963479491,46.9244,-121.665,"Passeriformes","Corvidae","Nucifraga","Nucifraga columbiana",2013,"Clark's Nutcracker"
963479526,46.915,-121.641,"Passeriformes","Turdidae","Myadestes","Myadestes townsendi",2013,"Townsend's Solitaire"
963491176,46.915,-121.641,"Passeriformes","Fringillidae","Haemorhous","Haemorhous cassinii",2013,"Cassin's Finch"
963501231,46.9146,-121.643,"Passeriformes","Paridae","Poecile","Poecile gambeli",2013,"Mountain Chickadee"
963603518,46.9244,-121.665,"Passeriformes","Motacillidae","Anthus","Anthus rubescens",2013,"American Pipit"
963618686,46.9244,-121.665,"Falconiformes","Falconidae","Falco","Falco sparverius",2013,"American Kestrel"
963646803,46.7609,-122.019,"Passeriformes","Corvidae","Cyanocitta","Cyanocitta stelleri",2013,"Steller's Jay"
963709396,46.915,-121.641,"Galliformes","Phasianidae","Dendragapus","Dendragapus fuliginosus",2013,"Sooty Grouse"
963709710,46.915,-121.641,"Passeriformes","Corvidae","Corvus","Corvus corax",2013,"Common Raven"
963770613,46.915,-121.641,"Passeriformes","Emberizidae","Junco","Junco hyemalis",2013,"Dark-eyed Junco"
963771409,46.9026,-121.641,"Passeriformes","Parulidae","Setophaga","Setophaga townsendi",2013,"Townsend's Warbler"
963771410,46.9026,-121.641,"Passeriformes","Regulidae","Regulus","Regulus satrapa",2013,"Golden-crowned Kinglet"
963822112,46.7883,-121.735,"Passeriformes","Turdidae","Myadestes","Myadestes townsendi",2013,"Townsend's Solitaire"
963925935,46.915,-121.641,"Passeriformes","Corvidae","Corvus","Corvus corax",2013,"Common Raven"
963948647,46.757,-121.698,"Passeriformes","Fringillidae","Loxia","Loxia curvirostra",2013,"Red Crossbill"
964061172,46.8503,-121.752,"Passeriformes","Corvidae","Perisoreus","Perisoreus canadensis",2013,"Gray Jay"
969185746,46.9244,-121.665,"Passeriformes","Fringillidae","Haemorhous","Haemorhous cassinii",2013,"Cassin's Finch"
961566195,46.915,-121.641,"Passeriformes","Bombycillidae","Bombycilla","Bombycilla cedrorum",2013,"Cedar Waxwing"
961584327,46.9117,-121.664,"Passeriformes","Alaudidae","Eremophila","Eremophila alpestris",2013,"Horned Lark"
961608891,46.7609,-122.019,"Passeriformes","Sittidae","Sitta","Sitta canadensis",2013,"Red-breasted Nuthatch"
961657044,46.7509,-121.813,"Apodiformes","Apodidae","Chaetura","Chaetura vauxi",2013,"Vaux's Swift"
961657206,46.7509,-121.813,"Columbiformes","Columbidae","Patagioenas","Patagioenas fasciata",2013,"Band-tailed Pigeon"
961959625,46.9244,-121.665,"Apodiformes","Trochilidae","Calypte","Calypte anna",2013,"Anna's Hummingbird"
962044786,46.9189,-121.667,"Passeriformes","Fringillidae","Haemorhous","Haemorhous cassinii",2013,"Cassin's Finch"
962121942,46.7869,-121.758,"Passeriformes","Fringillidae","Spinus","Spinus pinus",2013,"Pine Siskin"
962184128,46.7609,-122.019,"Passeriformes","Emberizidae","Pipilo","Pipilo maculatus",2013,"Spotted Towhee"
962234584,46.7609,-122.019,"Passeriformes","Emberizidae","Junco","Junco hyemalis",2013,"Dark-eyed Junco"
962391585,46.8656,-121.502,"Passeriformes","Paridae","Poecile","Poecile rufescens",2013,"Chestnut-backed Chickadee"
962464272,46.7871,-121.734,"Passeriformes","Emberizidae","Junco","Junco hyemalis",2013,"Dark-eyed Junco"
962490485,46.7871,-121.734,"Passeriformes","Parulidae","Setophaga","Setophaga coronata",2013,"Yellow-rumped Warbler"
962516357,46.7609,-122.019,"Passeriformes","Emberizidae","Melospiza","Melospiza melodia",2013,"Song Sparrow"
962745644,46.9244,-121.665,"Passeriformes","Turdidae","Turdus","Turdus migratorius",2013,"American Robin"
962747377,46.9244,-121.665,"Passeriformes","Paridae","Poecile","Poecile rufescens",2013,"Chestnut-backed Chickadee"
962766981,46.9244,-121.665,"Passeriformes","Corvidae","Perisoreus","Perisoreus canadensis",2013,"Gray Jay"
962767201,46.9244,-121.665,"Passeriformes","Paridae","Poecile","Poecile gambeli",2013,"Mountain Chickadee"
962788218,46.7609,-122.019,"Passeriformes","Emberizidae","Junco","Junco hyemalis",2013,"Dark-eyed Junco"
962875445,46.8748,-121.518,"Passeriformes","Corvidae","Cyanocitta","Cyanocitta stelleri",2013,"Steller's Jay"
962958570,46.7871,-121.734,"Passeriformes","Parulidae","Setophaga","Setophaga coronata",2013,"Yellow-rumped Warbler"
962972062,46.9123,-121.639,"Passeriformes","Corvidae","Perisoreus","Perisoreus canadensis",2013,"Gray Jay"
